Utterance,Type,Dialogue Act
Bujhechhi. Tai apani poriksha korchhen ebong etike vhitore thele dichchen. Hyan. Ebong kono kono somoy sei sima atikrom kore ebong apani ullekh korechhen emon kichu porinoti royeche.,T,"op,crq"
"Hyan, thik tai ami jani ekhon kemon lagche tai pore jokhon ei paristhiti aro kothor ebong niontron-er baire chole jabe. Ami jani ami ki korte pari ebong ami kothay simabaddha ta ki apani?",P,"cr,id"
"Thik achhe, ei line-guli dhore samner dike takiye, apani janan, ekhon theke panch bochor pore, apani nijer jonno lakhyo hisabe ki dekhchen?",T,gc
"Karmojiboner dik theke, pariprekshit.",P,gc
"Apani panch bosore ki korben bole mone koren,",T,orq
Ebong ami hote chai.,P,od
"Ami bhromon kortey pachhondo korbo, ami prithibike dekhte chai. Ebong ami shobdota ar video guli dekhechi prithibi kemon, kintu ami sotti kono onubhob korini, jemon, ami sobshomoy Europe ba China ba onno kichu ba erokom kothao bhromon korte cheye chhilam. Tai ami sotti bishwaketo onubhob korte pari.",P,od
Je amra bash kori.,P,od
"Tai ekta puron onubhuti pawao o sotti guruttopurno. Eta apnar shara jibon dhore shonachhe, apni janen, apni apnar uchcho bidyaloy er onubhutir shobcheye beshi byabohar korar bishoye kotha bolechen. Ebong ekhon apni dekhchen kivabe apni apnar jibonke onno upay e samriddh korote paren. Apni kivabe khub beshi moidopan mopsi hobe bole mone koren, apni janen, jibonke sompurno roope onubhob korte shokkho hawar?",T,"od,irq"
"Ami onuman kori je eti nijerke sompurno roope jibonayaponer probhavguli onubhob korar onumoti dewar khetre hasta-kshetrapo korte pare. Kintu ami khub beshi moidopan niye hastakshetrapo korte chai na. Jemon, proyoshoi, ami jani bolei, ami moidopaner porinitiguli dekhechi jeiguli manusher upor pore ebong ami jani je ami kkhonoi emon ekta degree te pouchate chai na jekhane amake proti ek din nijomito pan korto. Ami khonoi sei bindute jete chai na.",P,"gc,on"
"Thik ache. Sutaraṅga apni ekhon porjonto amake ja bolechen tar sankshipto saroner jonno, apni beshi nijomito pan korchen, kintu apni nijekete simabaddho korar chesta korchen apnar mone hochhe tinṭi panio sambhobotho sordi apni pan korenar age pan korte paren ei netibachok pholaphol kichu hochhe. Ebong apni jodi nijekete tin ba tar kom simabaddho korben tobe apni aro bhalo bodh korben,",T,crq
"Ha, nijontreṇe aro beshi onubhob koren.",P,cd
"Ebong tarpor dhornor samne takan. Aponi nijeke emon ekjon hisabe khujte pette chan na jini shorboda modyopan koren ba emon keu jini tader modyopaner shathe niyontroner baire bodh koren je aponi dekhechen je onyo lokeder jibone aponi dekhechen, ebong eti mutoi akorshonio noy. Ebong ebong apanar jiboner jonno kichu boro lakhyo royeche ja aponi orjon korte chan, je atyodhik modyopano hstokshep korte pare. Tahole aponi apanar modyopaner bishoye ekhane theke kothay jete chan bole mone koren?",T,"irq,prq"
"Hoyto ekhon ami jani, amar sima kichuta holeo, ami etake thele dite chai na. Onek beshi. Ekhon ami jani ami ki korte pari ebong kothay jete pari. Ami joto ta sambhob proshomito korte chai. Ami shudhu chai ami amar hoye moja pete chai. Kintu ami mod dwara prohobit hote chai na. Onek. Jemon ami ekta porimaney shanto jibonaypon korte chai, tobe ami jani je alkol keval etir shathe hastokshep korbe.",P,od
"Tai ei mohurte mone hochhe apnar jonno ekta jugtishongot lakhyo hobe apnar modyopan shimito kora ebong nischoit kora je apni, apni tin to bondho korchhen, udahoronshorup, ba emonki apni jatbar korchhen tar shonggo shimito koraote pare modyopan.",T,gc
"Hyan. Ebong poshondo noy, modyopan na karar moto, shokale ba shudhu kothor bhabe samajik uddeshe jemon eti ashepashena rakha, jemon, amar baba-mayer kache thakle ami eti amar fridge rakhte chai na. Ami chai na ami eta mokabela korte chai na.",P,gc
Thik achhe. Aponi je kichu subidha hisabe ki dekhte?,T,"ack,irq"
Subidha ebong,P,gc
Ei shimaboddho?,T,irq
"Ami onumon kori je ami oboshhoi hote pari, ami aro poripurno jibonaypon korte pari jemon ami sambhoboth aro beshi utpadonshil, amar kajey aro dakhsh hote pari ebong amar jiboner poroborti koyek bochore ami jekhane thakte pari. Ebong ami mone kori je modyopan na kore, ami oboshhoi amar jibone aro bhalo prohav felbo.",P,id
"Hyan, ami mone kori apnar modyopan shimito kora ebong komanoor jonno padokshep nioa sotti ekta bhalo dharon. Ebong ami sotti prashansa kori je aponi eti somporke amar sathe kotha bolar jonno somoy diyechen ebong khola ebong sot proshno korsen. Aponi janen, jodi aponi kichu mone na koren, ami sambhoboth koyek shopto ba koyek mash er moddhe ei bishoye kotha bolte chai ebong sobkichu kemon cholche ta porikha kore dekhte chai. Thik. Thik achhe. Bhalo lagche.",T,"gc,gt"
Apanake onek dhonnobad.,P,gt
